uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs,list_functions,n_functions
repos/datasets/benchmarks/benchmark_array_xd.py:benchmark_array_xd,benchmark_array_xd,function,20,99,54,1462,14.77,3,0,[],[],[],92,[],"['tempfile.TemporaryDirectory', 'datasets.Features', 'Array2D', 'generate_examples', 'write', 'read_func', 'datasets.Sequence', 'open', 'f.write']",9
repos/datasets/benchmarks/benchmark_array_xd.py:read_batch_formatted_as_numpy,read_batch_formatted_as_numpy,function,9,20,19,231,11.55,1,0,"['feats', 'tmp_dir']","[None, None]","[None, None]",63,[],"['dataset.set_format', 'range', 'len']",3
repos/datasets/benchmarks/benchmark_array_xd.py:read_batch_unformated,read_batch_unformated,function,8,19,18,203,10.68,1,0,"['feats', 'tmp_dir']","[None, None]","[None, None]",53,[],"['range', 'len']",2
repos/datasets/benchmarks/benchmark_array_xd.py:read_col_formatted_as_numpy,read_col_formatted_as_numpy,function,7,13,13,181,13.92,1,0,"['feats', 'tmp_dir']","[None, None]","[None, None]",83,[],['dataset.set_format'],1
repos/datasets/benchmarks/benchmark_array_xd.py:read_col_unformated,read_col_unformated,function,6,12,12,153,12.75,1,0,"['feats', 'tmp_dir']","[None, None]","[None, None]",74,[],[],0
repos/datasets/benchmarks/benchmark_array_xd.py:read_formatted_as_numpy,read_formatted_as_numpy,function,4,12,12,171,14.25,1,0,"['feats', 'tmp_dir']","[None, None]","[None, None]",43,[],['dataset.set_format'],1
repos/datasets/benchmarks/benchmark_array_xd.py:read_unformated,read_unformated,function,3,11,11,143,13.0,1,0,"['feats', 'tmp_dir']","[None, None]","[None, None]",34,[],[],0
repos/datasets/benchmarks/benchmark_array_xd.py:write,write,function,11,17,17,219,12.88,1,0,"['my_features', 'dummy_data', 'tmp_dir']","[None, None, None]","[None, None, None]",25,[],"['ArrowWriter', 'my_features.encode_example', 'writer.write', 'writer.finalize']",4
repos/datasets/benchmarks/benchmark_getitem_100B.py:benchmark_table_100B,benchmark_table_100B,function,10,28,28,436,15.57,1,0,[],[],[],63,[],"['print', 'generate_100B_dataset', 'func', 'open', 'f.write']",5
repos/datasets/benchmarks/benchmark_getitem_100B.py:generate_100B_dataset,generate_100B_dataset,function,5,12,11,164,13.67,0,0,"['num_examples', 'chunk_size']","[' int', ' int']","[None, None]",19,[],"['pa.concat_tables', 'datasets.Dataset']",2
repos/datasets/benchmarks/benchmark_getitem_100B.py:get_batch_of_1024_random_rows,get_batch_of_1024_random_rows,function,2,5,5,48,9.6,0,0,['dataset'],[' datasets.Dataset'],[None],59,[],"['dataset[RandIter', 'len']",2
repos/datasets/benchmarks/benchmark_getitem_100B.py:get_batch_of_1024_rows,get_batch_of_1024_rows,function,2,8,7,54,6.75,0,0,['dataset'],[' datasets.Dataset'],[None],54,[],"['dataset[range', 'len']",2
repos/datasets/benchmarks/benchmark_getitem_100B.py:get_first_row,get_first_row,function,2,2,2,12,6.0,0,0,['dataset'],[' datasets.Dataset'],[None],44,[],[],0
repos/datasets/benchmarks/benchmark_getitem_100B.py:get_last_row,get_last_row,function,2,2,2,13,6.5,0,0,['dataset'],[' datasets.Dataset'],[None],49,[],[],0
repos/datasets/benchmarks/benchmark_getitem_100B.py:RandIter,RandIter,class,14,24,18,268,11.17,0,0,[],[],[],26,[],[],0
repos/datasets/benchmarks/benchmark_getitem_100B.py:RandIter:__iter__,RandIter:__iter__,method,2,2,2,32,16.0,0,0,['self'],[None],[None],36,[],['iter'],1
repos/datasets/benchmarks/benchmark_getitem_100B.py:RandIter:__len__,RandIter:__len__,method,2,2,2,15,7.5,0,0,['self'],[None],[None],39,[],[],0
repos/datasets/benchmarks/benchmark_getitem_100B.py:RandIter:__post_init__,RandIter:__post_init__,method,4,6,6,123,20.5,0,0,['self'],[None],[None],32,[],['rng.integers'],1
repos/datasets/benchmarks/benchmark_indices_mapping.py:benchmark_indices_mapping,benchmark_indices_mapping,function,13,42,40,560,13.33,1,0,[],[],[],41,[],"['tempfile.TemporaryDirectory', 'print', 'datasets.Features', 'datasets.Value', 'generate_example_dataset', 'func', 'open', 'f.write']",8
repos/datasets/benchmarks/benchmark_indices_mapping.py:select,select,function,2,4,4,41,10.25,0,0,['dataset'],[' datasets.Dataset'],[None],16,[],"['dataset.select', 'len']",2
repos/datasets/benchmarks/benchmark_indices_mapping.py:shard,shard,function,4,7,7,68,9.71,1,0,"['dataset', 'num_shards']","[' datasets.Dataset', None]","[None, '10']",36,[],"['range', 'dataset.shard']",2
repos/datasets/benchmarks/benchmark_indices_mapping.py:shuffle,shuffle,function,2,2,2,19,9.5,0,0,['dataset'],[' datasets.Dataset'],[None],26,[],['dataset.shuffle'],1
repos/datasets/benchmarks/benchmark_indices_mapping.py:sort,sort,function,2,2,2,25,12.5,0,0,['dataset'],[' datasets.Dataset'],[None],21,[],['dataset.sort'],1
repos/datasets/benchmarks/benchmark_indices_mapping.py:train_test_split,train_test_split,function,2,2,2,31,15.5,0,0,['dataset'],[' datasets.Dataset'],[None],31,[],['dataset.train_test_split'],1
repos/datasets/benchmarks/benchmark_iterating.py:benchmark_iterating,benchmark_iterating,function,22,189,85,2072,10.96,2,0,[],[],[],42,[],"['tempfile.TemporaryDirectory', 'print', 'datasets.Features', 'datasets.Sequence', 'datasets.Value', 'generate_example_dataset', 'str', 'kwargs.values', 'func', 'dataset.shuffle', 'open', 'f.write']",12
repos/datasets/benchmarks/benchmark_iterating.py:read,read,function,4,6,6,33,5.5,1,0,"['dataset', 'length']","[' datasets.Dataset', None]","[None, None]",17,[],['range'],1
repos/datasets/benchmarks/benchmark_iterating.py:read_batch,read_batch,function,5,11,10,65,5.91,1,0,"['dataset', 'length', 'batch_size']","[' datasets.Dataset', None, None]","[None, None, None]",23,[],"['range', 'len']",2
repos/datasets/benchmarks/benchmark_iterating.py:read_formatted,read_formatted,function,6,8,8,70,8.75,1,0,"['dataset', 'length', 'type']","[' datasets.Dataset', None, None]","[None, None, None]",29,[],"['dataset.formatted_as', 'range']",2
repos/datasets/benchmarks/benchmark_iterating.py:read_formatted_batch,read_formatted_batch,function,7,13,12,96,7.38,1,0,"['dataset', 'length', 'batch_size', 'type']","[' datasets.Dataset', None, None, None]","[None, None, None, None]",36,[],"['dataset.formatted_as', 'range']",2
repos/datasets/benchmarks/benchmark_map_filter.py:benchmark_map_filter,benchmark_map_filter,function,28,103,56,1319,12.81,0,0,[],[],[],27,[],"['tempfile.TemporaryDirectory', 'datasets.Features', 'datasets.Value', 'generate_example_dataset', 'tokenize', 'tokenizer', 'map', 'dataset.formatted_as', 'filter', 'open', 'f.write']",11
repos/datasets/benchmarks/benchmark_map_filter.py:filter,filter,function,2,2,2,26,13.0,0,0,"['dataset', '**kwargs']","[' datasets.Dataset', None]","[None, None]",23,[],['dataset.filter'],1
repos/datasets/benchmarks/benchmark_map_filter.py:map,map,function,2,2,2,23,11.5,0,0,"['dataset', '**kwargs']","[' datasets.Dataset', None]","[None, None]",18,[],['dataset.map'],1
repos/datasets/benchmarks/format.py:format_json_to_md,format_json_to_md,function,31,120,71,1008,8.4,2,4,"['input_json_file', 'output_md_file']","[None, None]","[None, None]",5,[],"['open', 'json.load', 'sorted', 'benchmark_name.split', 'output_md.append', 'metric_vals.get', 'isinstance', 'f.writelines']",8
